SA2_MAIN16,localities,no_vehicle,hospital,police_station,fire_station,ambulance_station,ses_facility
103021069,"Barmedman (L), Remainder of State/Territory (NSW), Ungarie (L), West Wyalong, Wyalong (L)",4.5,1,5,11,1,1
101051540,"Crookwell, Goulburn, Marulan (L), Remainder of State/Territory (NSW), Taralga (L)",3.1,1,6,34,1,4
103011060,"Perthville (L), Remainder of State/Territory (NSW)",1.8,0,3,19,0,1
103031075,"Lithgow, Remainder of State/Territory (NSW)",-999,0,0,0,0,0
103021068,"Peak Hill (L), Remainder of State/Territory (NSW), Trundle (L)",7.2,2,3,9,1,2
103011061,"Oberon, Remainder of State/Territory (NSW)",3.2,1,1,18,1,2
103041077,"Orange, Remainder of State/Territory (NSW)",11.7,1,1,1,1,0
103041076,"Blayney, Carcoar (L), Lyndhurst (L), Millthorpe (L), Remainder of State/Territory (NSW)",3.7,1,4,10,1,1
103041078,"Clifton Grove (L), Orange, Remainder of State/Territory (NSW)",6.2,0,0,3,0,1
104011080,"Grafton, Junction Hill, Remainder of State/Territory (NSW)",9.8,1,1,3,1,3
104021084,"Coffs Harbour, Remainder of State/Territory (NSW)",8.2,0,1,0,0,0
104011082,"Angourie (L), Brooms Head (L), Gulmarrad, Iluka, Maclean, Remainder of State/Territory (NSW), Townsend (L), Wooloweyah (L), Woombah (L), Yamba",6,1,3,7,2,2
104021083,"Bellingen, Remainder of State/Territory (NSW)",5.3,1,1,12,1,1
104021085,"Coffs Harbour, Remainder of State/Territory (NSW)",11.2,1,0,3,1,1
103031071,"Cullen Bullen (L), Lithgow, Portland (NSW), Remainder of State/Territory (NSW), Wallerawang",3.3,1,3,17,0,1
104021086,"Coffs Harbour, Coramba (L), Moonee Beach West (L), Nana Glen (L), Remainder of State/Territory (NSW)",1.4,0,1,5,0,0
104021088,"Coffs Harbour, Emerald Beach West (L), Moonee Beach (L), Moonee Beach West (L), Remainder of State/Territory (NSW), Sandy Beach - Emerald Beach",1,0,0,2,0,0
104021090,"Mylestom (L), Remainder of State/Territory (NSW), Repton (L), Urunga",5.5,0,1,4,1,1
104021089,"Bonville (L), Bonville - East (L), Coffs Harbour, Remainder of State/Territory (NSW)",6.4,0,1,3,0,0
104021091,"Arrawarra, Corindi Beach, Red Rock (L), Remainder of State/Territory (NSW), Safety Beach (L), Sandy Beach - Emerald Beach, Woolgoolga",5.6,0,1,7,1,1
104021087,"Dorrigo, Remainder of State/Territory (NSW)",4,1,1,8,1,1
105011094,"Coonamble, Gulargambone (L), Remainder of State/Territory (NSW)",10,2,2,8,1,1
103031073,"Kandos, Remainder of State/Territory (NSW), Rylstone (L)",4.7,1,2,8,1,1
103031074,"Dunedoo (L), Gulgong, Mudgee, Putta Bucca - Bombira (L), Remainder of State/Territory (NSW)",2.9,2,2,23,2,1
105021097,"Broken Hill, Remainder of State/Territory (NSW)",12.1,1,1,2,1,1
105031100,"Dubbo, Firgrove (L), Remainder of State/Territory (NSW)",6.9,2,0,1,0,0
105031101,"Dubbo, Remainder of State/Territory (NSW)",10.1,0,1,1,1,1
105031102,"Dubbo, Remainder of State/Territory (NSW)",6.8,0,0,2,0,1
105011095,"Nyngan, Remainder of State/Territory (NSW), Warren",6.8,2,2,8,2,2
105011092,"Bourke, Brewarrina (L), Remainder of State/Territory (NSW)",19.8,2,4,9,2,2
103021062,"Condobolin, Lake Cargelligo, Remainder of State/Territory (NSW), Tottenham (L), Tullamore (L)",6.6,4,5,11,3,2
105031104,"Gilgandra, Gulargambone (L), Remainder of State/Territory (NSW)",6.2,1,2,11,1,1
105031103,"Dubbo, Firgrove (L), Remainder of State/Territory (NSW), Wongarbon (L)",0.6,0,0,14,0,0
103041079,"Cargo (L), Clifton Grove (L), Cudal (L), Cumnock (L), Manildra (L), Molong, Orange, Remainder of State/Territory (NSW), Spring Hill (L)",2.7,2,4,21,1,1
106011107,"Branxton, Cessnock, Greta, North Rothbury (L), Remainder of State/Territory (NSW)",1.9,0,1,6,0,0
106011108,"Cessnock, Kurri Kurri, Remainder of State/Territory (NSW)",8.3,1,1,5,1,1
106011111,"Kurri Kurri, Maitland (NSW), Remainder of State/Territory (NSW)",6.2,1,1,4,1,0
106011110,"Clarence Town (L), Dungog, Gresford (L), Paterson (L), Remainder of State/Territory (NSW)",3.3,1,4,12,1,1
106011112,No localities found,5.2,1,1,3,1,1
105031105,"Narromine, Remainder of State/Territory (NSW), Trangie (L)",4.7,2,2,13,1,1
105011093,"Cobar, Remainder of State/Territory (NSW)",5.1,1,2,13,1,3
106011109,"Abernethy (L), Cessnock, Ellalong (L), Kitchener (L), Kurri Kurri, Louth Park (L), Maitland (NSW), Millfield (L), Minmi (L), Mulbring (L), Paxton (L), Remainder of State/Territory (NSW), Seahampton (L)",2.2,0,1,8,0,0
106021114,"Kurri Kurri, Louth Park (L), Maitland (NSW), Remainder of State/Territory (NSW)",5.3,1,1,1,0,0
106021116,"Hinton (L), Maitland (NSW), Remainder of State/Territory (NSW)",1.6,0,0,1,0,0
106021115,"Hinton (L), Maitland (NSW), Remainder of State/Territory (NSW)",6.3,0,1,3,0,1
106021118,"Hinton (L), Maitland (NSW), Raymond Terrace, Remainder of State/Territory (NSW)",2.4,0,0,1,0,0
106021117,"Lochinvar (L), Maitland (NSW), Remainder of State/Territory (NSW)",5.9,0,1,4,1,1
105011096,"Collarenebri (L), Goodooga (L), Lightning Ridge, Remainder of State/Territory (NSW), Walgett",14.3,4,6,14,3,6
106031120,"Lemon Tree Passage, Remainder of State/Territory (NSW), Salt Ash (L), Tanilba Bay",3.8,0,1,2,1,0
106031119,"Anna Bay - Boat Harbour, Remainder of State/Territory (NSW), Salamander Bay - Soldiers Point",2,0,0,1,0,0
106031122,"Raymond Terrace, Remainder of State/Territory (NSW), Tomago (L)",7.9,0,1,2,1,1
106031123,"Brandy Hill (L), Hinton (L), Maitland (NSW), Raymond Terrace, Remainder of State/Territory (NSW), Seaham (L), Wallalong (L)",0.3,0,0,3,0,0
106031121,"Fingal Bay, Nelson Bay, Remainder of State/Territory (NSW), Salamander Bay - Soldiers Point",6,1,1,3,1,1
106011113,"Broke (L), Remainder of State/Territory (NSW), Singleton",0.6,0,2,12,0,0
106041126,"Muswellbrook, Remainder of State/Territory (NSW)",7,1,1,2,1,1
106031124,"Hawks Nest (L), North Arm Cove (L), Pindimar (L), Remainder of State/Territory (NSW), Tea Gardens",5.7,0,1,4,1,0
106031125,"Karuah, Medowie, Remainder of State/Territory (NSW), Salt Ash (L), Tomago (L)",2.2,0,1,3,0,0
107011133,Wollongong,-999,0,1,0,0,2
106041128,No localities found,9.6,1,1,2,1,1
107011132,No localities found,1.7,0,0,2,0,0
107011131,No localities found,7.2,0,1,1,1,0
107011545,Wollongong,12.7,0,0,0,0,0
107011546,Wollongong,23,1,0,1,1,0
107011547,Wollongong,11.4,0,0,0,0,0
107011134,No localities found,7.1,0,0,2,0,0
107031137,No localities found,4.4,0,0,3,0,0
107031138,"Kiama, Remainder of State/Territory (NSW)",6.6,1,1,1,1,1
107031136,No localities found,2.1,0,0,3,0,1
107021135,No localities found,-999,0,0,0,0,0
107031142,No localities found,7.1,1,1,0,1,0
107031141,"Kiama, Remainder of State/Territory (NSW), Wollongong",2,0,0,2,0,0
105031099,"Baradine (L), Binnaway (L), Coolah (L), Coonabarabran, Mendooran (L), Remainder of State/Territory (NSW)",8,3,5,14,3,1
107031139,"Kiama, Remainder of State/Territory (NSW), Wollongong",2.8,0,0,0,0,0
107031140,"Gerringong, Gerroa (L), Jamberoo (L), Kiama, Remainder of State/Territory (NSW)",1.7,0,0,3,0,0
105021098,"Ivanhoe (L), Menindee (L), Remainder of State/Territory (NSW), Wilcannia (L)",12.4,4,4,7,0,6
106041127,"Denman, Muswellbrook, Remainder of State/Territory (NSW)",2.8,1,1,12,0,1
107041144,No localities found,10.5,0,1,1,0,0
107041145,No localities found,12.3,0,0,1,0,0
107041147,"Helensburgh, Otford (L), Remainder of State/Territory (NSW), Stanwell Park, Stanwell Tops (L), Wollongong",2.1,0,1,5,1,0
107041148,No localities found,4.5,1,1,4,0,0
107041146,No localities found,7.2,0,0,1,0,0
107031143,Wollongong,9.7,0,1,0,0,0
107041548,Wollongong,17,1,1,0,0,2
107041549,Wollongong,17.3,1,0,1,1,0
107041150,No localities found,7.3,1,0,2,1,0
108011154,"Forster - Tuncurry, Remainder of State/Territory (NSW)",10.1,0,0,1,1,0
108011152,"Forster - Tuncurry, Green Point (L), Remainder of State/Territory (NSW)",10.1,0,1,2,0,0
108021155,"Frederickton, Kempsey, Remainder of State/Territory (NSW)",11.9,1,1,4,1,1
108021157,"Macksville, Nambucca Heads, Remainder of State/Territory (NSW), Scotts Head (L)",7,1,1,4,1,1
